ingredient_name,canonical_name,afcd_food_key,afcd_food_name,afcd_match_score,nutrition_basis,energy_kj,energy_kcal,protein_g,fat_total_g,carbohydrates_g,sugars_g,fibre_g,sodium_mg,cpi_category,latest_cpi_period,latest_cpi_index,cpi_monthly_pct_change,cpi_annual_pct_change,foodkeeper_product_id,foodkeeper_name,foodkeeper_subtitle,expiry_match_score,pantry_min_days,pantry_max_days,refrigerate_min_days,refrigerate_max_days,freeze_min_days,freeze_max_days
dried fennel seed,fennel seed,F003820,"Fennel, fresh, raw",0.625,per_100_g,92.0,21.99,1.0,0.1,3.3,3.3,1.8,38.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried fenugreek leaves,fenugreek leave,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried fig,fig,F003832,"Fig, dried",1.0,per_100_g,1082.0,258.6,3.6,0.7,54.5,52.6,14.3,39.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried figs,fig,F003832,"Fig, dried",1.0,per_100_g,1082.0,258.6,3.6,0.7,54.5,52.6,14.3,39.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried fine herb,fine herb,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried fine herbs,fine herb,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried fish flakes,fish flake,,,,,,,,,,,,,Fish and other seafood,2026-02-01,101.13,-0.61,1.5,,,,,,,,,,
dried fruit,fruit,F008172,"Scone, fruit, commercial",0.875,per_100_g,1369.0,327.2,6.4,6.6,59.9,23.6,2.5,710.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,315,Fruits,"such as berries, melons",1.0,,,,,300,540
dried fruits,fruit,F008172,"Scone, fruit, commercial",0.875,per_100_g,1369.0,327.2,6.4,6.6,59.9,23.6,2.5,710.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,315,Fruits,"such as berries, melons",1.0,,,,,300,540
dried funghi porcini,funghi porcini,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried garbanzo beans,garbanzo bean,F000431,"Bean, green, fresh, raw",0.625,per_100_g,106.0,25.33,1.8,0.0,3.3,2.6,2.8,0.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried garlic,garlic,F004193,"Garlic, peeled, fresh, raw",0.875,per_100_g,522.0,124.76,6.1,2.8,10.2,1.5,16.9,8.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,235,Garlic,"chopped, commercial jars",1.0,240,360,,,,
dried garlic flakes,garlic flake,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried ghost chilies,ghost chily,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried ginger,ginger,F004210,"Ginger, dried, ground",0.875,per_100_g,1397.0,333.89,9.0,4.2,57.5,3.4,14.1,27.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,286,Ginger root,,0.93,2,5,14,21,180,180
dried ginger sesame blend,ginger sesame blend,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried great northern beans,great northern bean,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried greek oregano,greek oregano,F006281,"Oregano, dried",0.625,per_100_g,1096.0,261.95,9.0,4.3,26.4,4.1,42.5,25.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried green beans,bean,F000431,"Bean, green, fresh, raw",1.0,per_100_g,106.0,25.33,1.8,0.0,3.3,2.6,2.8,0.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,333,Beans,dried,1.0,365,730,,,,
dried green chilies,chily,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried green onion flakes,onion flake,,,,,,,,,,,,,Vegetables,2026-02-01,100.19,-1.55,0.49,,,,,,,,,,
